1	UnboxTherapy	1,593	14,082,771	2,801,654,182
2	TED	3,003	13,339,854	1,387,789,224
3	Technical Guruji	2,238	12,374,615	1,145,514,098
4	Manual doMundo	1,449	11,983,031	2,051,438,226
5	CrazyRussianHacker	1,322	11,056,151	2,559,981,380
6	MrGear	851	9,705,576	2,633,863,772
7	Coisa de Nerd	1,837	9,360,603	2,485,405,105
8	AsapSCIENCE	314	8,554,262	1,218,464,087
9	Apple	279	8,535,907	497,838,499
10	Linus Tech Tips	4,542	8,472,209	2,567,713,160
11	Marques Brownlee	1,105	8,289,811	1,248,445,567
12	Google	2,224	7,409,925	2,683,192,917
13	AWE me	389	7,256,234	800,872,427
14	EverythingApplePro	1,584	7,159,261	1,690,371,134
15	Wylsacom	1,907	7,028,396	1,480,017,125
16	SmarterEveryDay	298	6,488,928	560,134,184
17	Mark Rober	74	6,390,443	695,299,536
18	TechRax	495	6,342,207	1,496,179,349
19	the Hacksmith	585	5,318,523	410,499,259
20	Experimentar En Casa	147	4,960,038	645,288,111
21	minutephysics	232	4,616,969	395,577,203
22	Adam Savage?	3,733	4,338,115	764,387,967
23	Vsauce2	351	4,104,186	596,072,772
24	Seeker	3,360	3,924,161	899,688,967
25	Austin Evans	1,540	3,677,717	682,950,670
26	iT Creators	230	3,665,794	205,282,797
27	Vsauce3	169	3,633,885	366,498,794
28	NASA	4,603	3,550,994	184,085,486
29	Taras Kul	1,074	3,540,826	844,595,696
30	Technology Gyan	400	3,531,226	159,734,808
31	Samsung	929	3,525,381	360,357,013
32	expertvillage	138,607	3,496,446	3,693,757,665
33	Curiosidades con Mike	294	3,451,771	465,545,192
34	TechSmartt	1,064	3,379,253	566,244,010
35	TecMundo	5,954	3,353,072	600,293,785
36	Android Authority	3,667	3,297,898	708,820,074
37	GizmoSlip	322	3,289,732	512,396,296
38	Funny Bunny	36	3,249,685	781,186,234
39	Space Videos	1,251	3,238,951	220,227,549
40	OPPO India	217	3,210,301	979,081,469
41	Dr Nozman	338	3,159,205	464,289,705
42	JalanTikus	1,407	3,149,721	435,284,533
43	Apple India	130	3,117,278	463,945,049
44	SPACE & UNIVERSE	1	3,054,770	170,844,079
45	REVEALING EYES	235	3,049,204	515,332,425
46	Technical boss	523	3,025,215	120,860,578
48	Tecnonauta	933	2,995,641	310,686,403
49	SamsungIndia	203	2,974,864	1,797,158,342
50	Pro Android	1,015	2,905,835	311,074,764
51	Numberphile	518	2,867,137	399,027,741
52	Techquickie	632	2,809,575	356,362,065
